AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper,class
0,0,0,1.67,0.07,0.85,1.01,1.19,1.31,1.19,0.51,1.19,0.17,2.49,4.4,2.08,Negative
0,0,0.65,1.65,0.3,2.29,1.78,0,0,0.12,0,0.12,5.19,2.27,2.87,5.85,Negative
0,0,0,0,0,0.82,0.79,0,0.15,0,0.32,0.15,0.07,1.22,1.13,0.12,Negative
0,0,0,1.06,0,1.93,3.34,0.4,0.4,0.4,1.71,0.4,2.81,3.74,2.63,1.32,Negative
0,0,4.44,0.18,0,0.47,0,0,0,0,0,0,6.33,0,0.47,6.8,Negative
0,0,0,0,0,5.0,5.81,0,0,0,0,0,7.34,6.99,0,0.35,Negative
1.3,0,0,0,0,0.42,1.93,0,0,0,0,0,1.3,1.93,1.93,1.3,Negative
2.3,0,0.27,0.27,0,0.3,0.45,0,0.25,0,0.25,0,0.57,0.45,2.75,2.87,Negative
0.17,0,0,0,0,3.22,0,0,0,0,0,0,2.17,1.05,1.22,0.82,Negative
0,0,0,0,0,0,0.18,0,0,0,0,0,0,0.18,3.56,3.38,Negative
0,0,1.6,0.92,1.64,0.4,0.53,0,0,0,0.13,0,1.73,0.53,1.53,2.73,Negative
0.32,0,0.32,0,0.73,0.38,0,0,0,0,0,0,0.32,0,2.91,3.23,Negative
0.72,0,0.25,0,1.13,1.59,0.98,0,0,0,0,0,0.48,1.62,2.56,1.58,Negative
0,0,0.2,0.2,0,2.75,0.47,0,0,0,0,0,3.21,0.47,0.2,2.95,Negative
0,0,0,0,0,3.77,0,0,0,0,0,0,2.62,0,1.23,3.84,Negative
0.31,0,0,1.67,1.51,0.68,0,0,0,0,0,0,0.13,0,4.02,4.02,Negative
0.67,0,0.22,0,0.41,0.9,0.79,0,0,0,0,0,0,1.04,2.02,1.07,Negative
0.28,0,0,0,1.61,0.97,1.11,0,0,0,0,0,1.38,1.58,2.24,2.04,Negative
0,0,0,0,0,0.9,0.43,0,0,0,0.07,0,0,0.79,0.9,0.18,Negative
0,0,0,0,0,3.62,3.62,0,0,0,0,0,3.62,3.62,0,0,Negative
0,0,3.34,0,3.34,0,0,0,0,0,0,0,3.34,0,0.2,3.54,Negative
0,0,0.3,0,0,0.84,1.23,0.38,1.45,0.38,0,0.65,1.41,1.88,1.62,1.14,Positive
0.18,0,0,0.28,0,0,0.93,0,0,0,0,0,0,0.93,2.33,1.4,Positive
0,0,0,0,0,0.13,0.08,0,0,0,0,0,0.13,0.21,0,0,Positive
0,0,0,0,0,0.28,1.55,0,0.15,0,0,0.15,1.82,1.9,0.08,0,Positive
0,0,0.33,0.77,0,0.18,1.65,0,0,0,0.33,0,1.14,1.65,0.63,0.98,Neutral
0,0,0.3,0.5,0.3,0.75,0,0,2.66,2.05,2.66,2.66,3.71,2.91,0,0.8,Neutral
1.53,0,1.08,0,1.22,0.65,0.38,0,0,0,0,0,2.43,0.65,1.05,2.83,Neutral
0,0,0.12,1.73,0.1,3.2,0,0,0,0,0,0,3.31,0,0.1,3.41,Neutral
0,0,0,0,0,0,0.21,0,0,0,0,0,0,0.21,4.13,3.92,Neutral
0,0,0,0,2.68,0.57,0,0,0.2,0.2,0,0.2,2.68,0.2,0.77,3.25,Neutral
0.75,0,0.2,0,0,1.46,0.5,0,0,0,0,0,0.74,0.5,2.71,2.96,Neutral
0.43,0,0.38,1.2,0.33,1.14,1.69,0,0,0.15,0,0.15,2.56,1.84,1.13,1.97,Neutral
0,0,0,0,0,2.6,1.18,0,0,0,1.18,0,3.79,3.79,0,0,Neutral
0,0,0,0.27,0,4.47,0,0,0,0,0,0,4.47,0.26,0,4.22,Neutral
0,0,0.37,1.69,0.37,2.37,0.14,0,0,0,0,0,0,0.14,3.89,4.13,Neutral
